sentiment,label,content
love,1,@ChrisandCal Thats soooo pretty. Mine havnt flowered for years
love,1,joe: 2.30pm Kevin pics up a new pair of pjs :') PMSL i could have died!!! lmfaoo :') I MISS MY BOYS
sadness,-1,@xoshayzers i knoww  things won't be the samee &lt;/3
hate,-1,Its weird being at the guy's house without them here. I don't like it
love,1,aww @iCONtips you are too kind!! Hi sweetie! Are you guys out partying without me   I'm the only person who came to work 2nite lol
sadness,-1,omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D
love,1,"@NiickJonas you are too, must be very nice city, you should have more girls to their feet!"
love,1,if i had one wish it would be for my friend J to not have to work
sadness,-1,Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL
sadness,-1,feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux
love,1,"@RikkAlaniz I'm glad he didn't get too hurt, I know some bad things can happen on motorcycles  you and everyone else are okay too, right?"
hate,-1,"Had to fix bike chain on the way to work...arrived a filthy, bloody mess   lovely weather though!"
sadness,-1,@wired that is so sad
sadness,-1,"So Cal Dachshund Rescue found a home for my foster pup, Max. I'm soooooo sad to see him leave"
sadness,-1,@shaundiviney i didnt get the msg!! :'( but i bought princess
hate,-1,@GoblinZA Can't access your site!
love,1,"@TrixieStilletto Oh, sweetie, I'm so sorry.  That's the last thing you needed right now. *hugs*"
sadness,-1,@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.
hate,-1,At Charle's with the power out. LOL! Damn SaveMart lost power and we could not buy beer.
love,1,"Graduation tonight  I'm gonna miss my boys...Mikey, Dustin, Miles, Charlie, Travy, Nicky, John, Jake, all my boys...I love you guys"
sadness,-1,Sooo.....I'm kind of sick n tired of the bs that guys dish out  !!!!!!!!
love,1,@HH4764 ...and there I miss you.
love,1,@Welshracer I loved him and he was in a mini
hate,-1,"Change my hairstyle,but it isn't good as it supposed to be N don't wealth that much money..  hate that hairdresser~~"
love,1,@Dichenlachman oh I love oreos!! U can't get many varieties in the uk
love,1,@unahealy i want to see you on tour!
sadness,-1,My sisser is moving tomorrow and of makes me sad  actually I guess technically in a couple of hours since it's already Friday.
hate,-1,@mrgenius23 You win ... SIGH Rakeem
hate,-1,But why do I have to spend it in the office
love,1,"Going home  but when i get home , BLACK BERRY ! WOO HOO  . . . and get to see presten ! &lt;3"
love,1,Awwwww  HE JUST WANTS A HUG!!!
hate,-1,Have you ever stepped on a slug by accident? I just did  I hate bugs
sadness,-1,bed bed bed @samuelasanders do you never answer texts anymore?  I thought of you the other day and sent one but never heard back. Sad day
hate,-1,I really need to sort out a bird table and some feeders - the robins and blue tits are being bullied
hate,-1,Hate these allergies! I don't like this time of year because of this! I never used to have this problem either
love,1,"@crpitt    I am sending healthy, healing thoughts in the mumborg's direction."
love,1,@SexySkins Miss you!!
love,1,"@tommcfly It's 12AM! @buonotomato, @bluejeriberry and I are still up, sending you as much tweets as we can! Philippines tour please?"
love,1,NOOOO!!!  &quot;thehannabeth: i have a crush... ;)&quot;
love,1,getting my new cellphone on wednesday! the LG Voyager! its soo sweet! i can't wait that long though
love,1,"the scrubs finale was beautiful, just so so perfect. can't believe they're gonna do another season"
hate,-1,my hsbc savings apy dropped to 1.55%. sort of feeling like pulling out all my money and keeping it underneath my mattress.
love,1,Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation.
love,1,"@Td_keepsitreal haha awe. Well right now, I could be at home but I have to be here. It's horrible  Lol"
love,1,"good time Rocking out @ open mic, thanks 4 all the love n support. Now working on Business plan presentation. No CG again 2nite"
sadness,-1,"@JustinOdom dbl booooooo for being sick, flippin blows! ... bahaha i kno i dont have many friends on here either. i feel so lame  haha"
love,1,@mattpro13 Maatt Havent spoken to you in ages dudeee  Dont forget bout ur Aussie fan  ;) lool. Love ya xx
love,1,Wow one of the nicest patients I've ever had! He's being deplyod to falouga-Iraq n-week
love,1,"@thoughtmecca still on track to move back, albeit in 2-3 years.  However, my buddy Jen is now moving with me, so we're on a FAST track!"
hate,-1,I HATE rob zombie movies. &amp; the smell of weed. Vommmm.
love,1,"@kaylee2o3 HA! finally found someone I know! happy summer Kaylee, too bad I dont get to kick next to you anymore"
love,1,@SilveryBeing  *hug*
love,1,"@effyobie LOL. dood, i love you and miss you."
hate,-1,Gday... Do you know if NHibernate has issues with COM Interop (VB6 &lt;-&gt; .Net Wrapper &lt;-&gt; .Net+NHibernate dll)? I'm getting crazy
sadness,-1,Is miserable  i feel like im gona cry  sux!
love,1,@Auggie5000 lmao boss ross don't come on out here  I love that man he was the truth
hate,-1,@anant24121986 it is so unfair that all the good rock shows happen only in B'lore and Pune
sadness,-1,I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;
love,1,"little beetle not feeling any love  Searches are bring up zilch, bar 2 peeps that appear funny !!!"
love,1,@Mpisthename Kisses! or its screwed. i'll be a raggy old cat woman ha i'm pretty sure of it
love,1,@AYoungOne Yep that one works. I LOVE Potbelly but I can't get it in AZ  Have to wait for my Chi-town trips @PotbellySdchWks
love,1,I love music so much that i've gone through pain to play :S my sides of my fingers now are peeling and have blisters from playing so much
sadness,-1,@prncsztalia why do you hate me!?
hate,-1,would wish the severe migrains would stop!!! doc's prescriptions arent working
love,1,"@miligosa how fun!! I like the beach, but I tend to get really dark fast."
love,1,@NicoleApparatus no you can't. no you can't.   i'm just kidding. that was mean. i love you.
sadness,-1,2orw!!!!! Nooooooo I want to go back to Newcastle!!!!
love,1,Dropped off Baby A for her 1st day in the Toddler Room this AM.  She's officially a toddler.  Growing up way too fast
love,1,@LaurenConrad    the hills is gunna be so different!! gl with your designing etc.
love,1,i love mandy moore so much  and also angela
love,1,aw. nick got his heart broken.  poor baby. i love you!
sadness,-1,Why are the sinks in hospital toilets so low? Now the crotch of my grey suit is spattered with water! Just in time for Physio
love,1,"@tommcfly i miss so much the old animations... i really loved Hercules, from Disney. haha by the way, awesome show yesterday, guys.  Xx"
love,1,Ahh... I love Chinese music. Haha.  Not gonna see my luff til Thursday...
hate,-1,@britblackbird  youstinkatrespondingtotexts!
hate,-1,stuck in huge traffic jam
love,1,"@rockinbobyn That movie looks VERY cute, and funny. I never get to go to the movies."
hate,-1,The Taxi Q at Pelangi was super loooong.. and now I'm getting headaches because of the hot-cold transition
love,1,Noo! I Don't wanna leave! i love it here
love,1,I really like Lady GaGa's &quot;Paparazzi&quot;...  #whatshappening
love,1,"@meldeschene arnold, california.  aka the best place ever...wish you could come with!!!"
hate,-1,I hate this bit
love,1,"Very happy that @pricy landed safely, I miss her already  http://myloc.me/205R"
love,1,@OfficialBabyV : yes she got all lovey with him&amp;he returned the love&amp;1thing led2 another&amp;  also @BrittanyASnow wants2 know y ur mad at her
sadness,-1,@WillyNorthpole I wish I was there
hate,-1,woke up from bad dream.  grrrr
love,1,@Roberto958  awwww  thanks for follwin me thou. lol
sadness,-1,"@maternitytees Aww  Onward and upwards now, yay! Still sad to leave I bet."
hate,-1,wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54
love,1,Aww I got to see my 1st grade teacher's last day before she retired
love,1,"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"
sadness,-1,Sad that Christian Lacroix had to file bankruptcy
sadness,-1,feels sick to my stomach and idkk whyy
sadness,-1,#jonaswebcast i just missed it!!!!
love,1,"Goooooodmoring , I don't want to be up I am YAT   happy birthday again @its_aygee !"
love,1,"is chilled out tonite, so cannot spew venom or write funny. Seems like these are the only 2 styles she has"
hate,-1,"my mind is racing ... b/c of 4 words he wrote.  I hate him, but I hate her most. ... and I can't keep from falling for him"
sadness,-1,@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie
love,1,Am in the mix on the Galaxy weekend! Love(d) my Friday show! Sweet! Make the most of this one if your listening
love,1,@markiti The sweety sat on the table this morning...Just woke up! Very sweet! Oh...btw...I think i'll be home around 7 pm!!!  Xxx
love,1,"Laura's gone for the weekend, I miss her already!"
love,1,"@dollymix184 Wow, I've officially lost all faith in Britain, looks like our wishes weren't met, sadly"
sadness,-1,@lozzyx NOICE. I realised that after exams I have 2 more weeks  Forgot about the whole 2 weeks of Unit 4 in term 2 thing :/
sadness,-1,"how I wish my parents put me into a Chinese school when I was younger. Then, it'll be so much easier for me to get a job..."
love,1,Had a fantastic day with an amazing girl! Just wish Sara didn't have to go home.  #fb
hate,-1,How cold is it out in Sydney tonight...
hate,-1,"bah, i h8 waking up"
love,1,@Shan_Shan_West Im so excited to see u!! Its been forever  My lil Shan Shan gettin married!!  PS Did u really get a tattoo?? Lol
love,1,inside on a beautiful day!
love,1,@ToplessRobot those aren't even the old dolls...they are the new ones that look like sailor moon!
love,1,@tommcfly can't you write a song without your guitar? i thought you could  look for something to do!
love,1,"Altona... Wogs, Gota love em.. All I can smell is awsome food and makes me hungry"
love,1,i no i no bt i had only been a gamer for like 2 years when i made that attempt  lol yea i luvd F1 to an extent @yellowshirts
hate,-1,@chuybe again your fault  i didnt make u leave
sadness,-1,"@hobosexual lol.  When I went to buy my new laptop in Feb., I already knew, lol, but I looked anyway and walked away sadfaced. :/"
love,1,missing bham
love,1,turning in.  it's been a loooong day.  just got my new US edition Esquire so going to fantasize that I could one day look like Megan Fox.
love,1,@charviray Charlene my love. I miss you
sadness,-1,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and I'm definately NOT working this pm
hate,-1,"i hate working, especially when the weather is good"
love,1,@kyoisorange oh right aww yeh well 5 is loads  love youuu  x
sadness,-1,"@rscheuer sorry, is only in spanish for the moment"
love,1,@thomasfiss i think you should come tomarrow....because i was really really really looking foreword to seeing you.......please come?
love,1,@raZeiger i think @taylorswift13 missed me tooo
love,1,Just got my heart ripped out  i love you guys
love,1,I loved johnny carson now I'm going to hate seeing jay leno go  (via @womanschitchat) that's what I was waiting for someone to say!
sadness,-1,dont wanna work 11-830 tomorrow  but i get paid
love,1,http://twitpic.com/670pn - she is so cute really i really want to meet her  wish one day
hate,-1,I hate doing homework.
love,1,@Leikela4 glad its nice there. Gray skies and rainy in wisconsin.
hate,-1,@markbuchholz the non-Europers managed to dump the sun here! its gonna be a hot time now!
hate,-1,and this stupid wireless wont work downstairs
love,1,@ispybeauty philly was soooo fun. im trying to come to sea isle asap. im working alot the next two weeks tho b/c alot of peole asked off
love,1,looking forward to seeing the relatives... maybe home from Toronto soon
love,1,"@tommcfly My eyes are starting to hurt! It's getting super late. But I just gotta keep tweeting. Haha! Philippines tour, please, Tom?"
love,1,Farewell dinner with my kimmy. Last time i'll see her in a while
sadness,-1,not well
hate,-1,@digicho I'm inclined to think it's stupid.
sadness,-1,@johneast I've missed one this year(!). It's the forbidden fruit. Of all the trees in the garden I munch in disappointment on that one.
love,1,@spencerpratt hey u havent spoken to ur london bff for a while Whats up! wish i can vote  brody's here soon ill tell him 2 vote 4u from me
love,1,I have the biggest crush on Pink but she doesn't know I'm alive
sadness,-1,Not feeling too good
sadness,-1,"There's Nothing To Do Right Now And I'm Tired But I Don't Want To Sleep. Cleaned Up Pretty Good, So Proud. At Least I'd Be A Good Janitor"
love,1,I wish I had a dog
love,1,@tommcfly Do a tour in the Philippines sometime.  A lot of fans here would really love that!
hate,-1,Wondering how come mcdonalds take so long to deliver my food.
love,1,I think I love a part of me saying some cynical words. Even though I smile when I say them. Do you think it's bad?
hate,-1,My stomach is killing me do j can't sleep
sadness,-1,ALO is so sad and quiet and empty tonight
hate,-1,Have to go to work  typical sunshine and deep sleep; stupid friday.
love,1,I love you and I miss you so much!!!!
hate,-1,@tiffalo cuz airlines are super lame.
hate,-1,Bad internet. . . Its been down all night. . .
love,1,I miss you sweetie!
love,1,@wamarineangel awwwwww  *hugs*
sadness,-1,home from ice cream tweet-up (my very first tweet-up!) No pics because my camera battery died last night and i forgot to charge it
hate,-1,"@powertwitter Not a fan of the layout change of hyperlinks. I don't like the indentation and, well, I'm clicking and no link shows."
love,1,"The pics I just uploaded are the baby pics of my cats. Missy is now an adult and a pretty little kitty, but Batty is in kitten heaven now"
love,1,"@Rockergirl75 And now she also rides giant squids...who knew! Ama hafta go now  i'll try and get on later, love to you xxx"
sadness,-1,http://bit.ly/3W9w1  NOOOO! he goes for Orlando! OMG  I'm gonna CRY!!!!!!!!
love,1,@thomasfiss we want you back !!!
sadness,-1,I don't want her to leave..
love,1,@sevinnyne6126 Lindsay we are your spanish fansite and we love you www.ultimatelohan.org please reply us  I wish you a good flight &lt;3
sadness,-1,@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...
hate,-1,hates the net. ayaw bumukas ng twitter.  http://plurk.com/p/wxlxs
sadness,-1,Up late with nothin 2 do.....
sadness,-1,"@AmandaMallard i'm not at chaseton's either  please don't die, my heart will be really sad"
love,1,"it's you and me forever ?, it's you and me right now   flywithmeobsessive. Im crying"
hate,-1,@meljachin: eww. dislike
love,1,"@cjwilliams1975 @barmanandy We were in Lindos, and it absolutely ruled. Will post some pictures somewhere, some time. Back to work today"
love,1,Photo: martwo: OMG i love you!!!! i accadentally deleted this photo  yay hes SO beautiful http://tumblr.com/xvd1wankt
love,1,@almcheese alms ur tweets r all delicious. Haha! Since its about foodddd... Anyway gatau nih aku mau pindah dr binus
sadness,-1,@JasmineCJones  I was just thinking the same thing! I love our morning chats! We totally need 2 live 2gether full time. Lol
hate,-1,Layin n bed with a headache  ughhhh...waitin on your call...
love,1,"So far absolutely perfect. Great view, directly across from the elevators and ice machine and impecible weather. I need my bike."
sadness,-1,"@IsaacMascote  i'm sorry people are so rude to you, isaac, they should get some manners and know better than to be so lewd!"
love,1,Jesus Christ meadowhall could do with better air con! Too hot
love,1,really wants a puppy...
hate,-1,"@mrskutcher  Where I live, all the small markets deliver their day-old bread to the food bank, but times are really tough, even for me"
hate,-1,don't you hate it when you finish all your work and there's still 1.25 hours left of work time
love,1,@anberlin Welcome to Seattle! I really wish I could see you guys tonight.
love,1,i have an ipod nano i never use.tut for the love of all things Apple
sadness,-1,I feel so deflated. No more doggy.
sadness,-1,@half_a_mind Chris and I are staying in Glasgow instead cause there is absolutely no accomodation in Edinburgh due to the marathon
hate,-1,@Epiphora I will never forgive you for burying the erotica. You're snuffing out our love.
love,1,is having the last supper with his little angel.
love,1,@anrserge addict? Me? Okay I admit I need help  BUT... I have been writing hits big bro. I really really have *smile*
love,1,I wish I had someone to enjoy a drink with outside on this beautiful evening. @lilracedevil we need to live closer to each other!
love,1,@kirstiealley funny u havent showed me any love yet at all
hate,-1,I have to work in the morning while my friends get to party it up.....stupid bberry lite flashing red and I have no messages!
hate,-1,@AravindJose thanks dude. Being a low level business man its hard to get normal credit cards..also our place is not listed with any bank
sadness,-1,"I'm so unhappy being here. I hate it. It's affecting everything. My relationships with people, my personality, my attitude..."
hate,-1,"is tryna find her a 30 yr old junt with a 401 k, stable job, good home with an extra room 4 me and my baggage..so tired of u young dudes"
love,1,Happy Mothers Day  All my love
love,1,want to see him so badly
love,1,@nick_carter Hey Brian Littrell is there!! He doesnt really like this kinda pages rigth?  kisses! I loev you guys!
sadness,-1,Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up.
sadness,-1,@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)
love,1,I just made myself a wonderful breakfast!!!!!!!! Now I have to get ready to workout
hate,-1,my roommate @tess_tickle loves to ignore me
sadness,-1,oh no my tweetdeck is malfunctioning :O il have web will its fixd
hate,-1,think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!
love,1,sorry @RockinChick09 I Havent Ate Breakfast Yet So Ima Go Eat Over There lololol and my pc is dying  bbl love ya
sadness,-1,@joek949 It's depressing I'm stuck inside all day
love,1,im pretty sure i miss watching &quot;Yo Gabba Gabba&quot; with my niece
sadness,-1,"bout to watch notorious cause that's how i'm feelin now. wish i could eat something, but i can't.  surgery tomorrow. no food til saturday"
hate,-1,It is so annoying when she starts typing on her computer in the middle of the night!
sadness,-1,Sorry was that mean
love,1,"@yelyahwilliams Haaaayley, i saw some pictures from the tour, you're so pretty *-* i wanted to see u guys again"
hate,-1,@Brookeleeadams hang in there- health should be priority #1 right now! i do hate seeing good people get mistreated so i'm genuinely sorry
love,1,@paulineee: I know!! Im so excited. We cant go earlierrr than the afternoon?  I love you tooz &lt;3
sadness,-1,Can't sleep. Ugh. The one day i have to sleep in and i have to get up and go shopping with mom. Ugh.
hate,-1,@guitar21g @jackie_hussein i have to wake up earlier than i thought.. my dad wants me to take him food at 9AM! no0o0o0o!
love,1,I really fancy a frappuccino from Starbucks right now
love,1,@neyoofficial: love the song &quot;together&quot;. that's &quot;his&quot; song for me...well i think it's still is
love,1,@LolliroyAngel yep im very jelous too  id love to be in miley position haha x
love,1,"@love_Jamie How are ya, honey? What happend to @LarissaBootz account  ?"
sadness,-1,Blackout in the city is never good
love,1,wish i can be with her every day
hate,-1,I hate it when this computer screws up and decides not to play sound on videos
love,1,@2TuffDC i dunno what i'm gonna do. i love my skinny jeans!
love,1,at starbucks with my love. eff school. i have work later too.
hate,-1,@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww.
hate,-1,Waiting for my driver! Hate to wait!!!!!
love,1,@amandagelso i know  mark is still one of my favorite boys ever. So nice and adorable.
hate,-1,@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku
love,1,@SexyKellyC hey chocolate chips is good.  i want a snack too but i'm out of snacks.
sadness,-1,I'm poorly and can't sleep
sadness,-1,Yea i just saw this really sad commercial
love,1,Ahhh I am sooo happy Ashley Tisdale is in Germany but I am not in Oberhausen...  But i will show it in the TV at 8 o' clock yeah I love it
love,1,"@tommcfly Would love it if you guys toured here, really! Philippines tour?"
sadness,-1,Now I am depressed after watching so you think you can dance
love,1,"@Jackobeanz I'm blue.  In other news, you will love tonight's DC!"
love,1,@jroberson4 Good luck at the services tomorrow!! I wish I could see you guys on your vacation!
love,1,"@daveockun I hate you , Fleetwood is my favorite band...I'm so jealous  ok I still love you haha"
love,1,"Home until tomorrow. Did my running and spinning. Now time for chiropractor, laundry, shopping, and visiting family. Missing nathan"
love,1,@soscandalous love you ::hugs:but i'm not seeing anything...wondering if i'm doing something wrong)
love,1,"@backstreetboys I'd love for Nicky Poo and Bri &amp; Howie &amp; Aj, to wish me a happy birthday  please please please please pleaseee guys.."
sadness,-1,Matty is le tired.
sadness,-1,*sigh* I'm going to bed... I just don't feel right anymore...
hate,-1,rah rah. youtube isn't working again. oh great
hate,-1,@WoWInsider I would be playing my old rogue but a friend took the account and could not get it back
love,1,@Rhea_C hahaha i agree. im s glad Aiden won tonights show and greg should have got the other place
hate,-1,feels like crap whenever she lays down. @)(1+-'$#! I hate heartburn &amp; backaches!
hate,-1,"wants to move to QLD already, this cold weather is killing me"
sadness,-1,Nite Tweeple.  Tomorrow will be day 25 at work.
hate,-1,"@stevecruzblog  It is so unfair, Hustlaball, US citizens working here, Personal Appearances Expectations, Prowler, can I do that there?"
hate,-1,Hates having to sleep alone
hate,-1,Bluedart takes a shipment all the way before figuring out &quot;No Deliver&quot; and then bring it back! Databases anyone?
love,1,is back home now      gonna miss every one
love,1,"Cupcakes, creme brulee, tiramisu~ I want some sugar"
love,1,"@annavzang but if you got hit by a car, who would make such lovely music?"
hate,-1,@Kikirowr Downside though is that you're breaking the thread.
love,1,@Rob_Hammond Were on the way home from a night in London! Was lovely! Now working all weekend and Monday  when the weathers nice x
sadness,-1,Have decided I just can't stand @GuyKawasaki's Alltop spam any longer.
love,1,@mileycyrus tell me where to vote and I will do so!!!! cause I'm from Germany I don't now where to do it..  btw: I love you and your music
sadness,-1,its funny. i'm kinda sad on my last day
love,1,@tommcfly aww bless  haha your cute Tom
hate,-1,dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code
love,1,"@charmmydoll I will take pics soon :] Also, I would hang out with you everyday if we lived near each other"
love,1,Heyy.thnxx.or.inviting.me.to.ur.party.rob.ill.be.down.there.on.june.24th.ill.miss.u.when.u.go.to.italy....   &lt;333333333 txt.me.hon!!!
love,1,using my brothers G1 phone.. love it! driving to vegas... my phone died this morning and my charger broke
