Edge, Milepost1, Milepost2, Distance, Volume, Lane
286 42 45 84.01 92.24 3
287 44 37 182.48 169.00 3
288 47 41 167.36 94.34 3
289 41 38 49.16 91.84 3
290 38 34 54.45 92.78 3
291 34 35 27.07 93.18 3
292 35 38 55.71 92.29 3
293 35 33 131.46 105.50 3
294 34 37 280.47 130.74 3
295 37 31 297.12 164.60 3
296 31 29 22.14 158.60 3
297 29 30 173.23 130.09 3
298 30 32 174.00 97.17 3
299 29 27 94.41 147.00 3
300 27 23 226.01 138.20 3
301 23 24 50.29 128.64 3
302 24 29 262.50 137.44 3
303 30 26 165.95 100.33 3
304 26 28 46.17 95.68 3
305 28 32 206.16 92.52 3
306 26 25 121.26 95.10 3
307 25 19 327.94 81.09 3
308 19 16 255.34 63.70 3
309 25 20 131.03 89.89 3
310 20 22 218.08 172.80 3
311 22 21 25.02 195.37 3
312 21 23 57.28 134.60 3
313 23 22 54.74 198.97 3
314 21 17 136.00 129.80 3
315 20 18 52.09 83.79 3
316 18 15 357.00 71.31 3
317 15 12 74.03 60.25 3
318 17 14 281.01 113.20 3
319 14 11 77.41 93.00 3
320 11 12 250.07 73.90 3
321 11 10 94.05 72.99 3
322 10 13 219.83 57.49 3
323 11 9 186.13 83.90 3
324 9 8 204.12 76.45 3
325 8 7 52.35 79.91 3
326 7 5 42.01 74.84 3
327 7 12 235.73 73.06 3
328 7 4 317.59 65.55 3
329 9 6 90.80 80.40 3
330 6 3 188.72 75.10 3
331 3 2 350.28 59.08 3
332 2 1 156.05 47.35 3
